file_name,upload_to_custom_gpt,keep_in_dashboard_data_folder,purpose,source,refresh_frequency
kyle_site_locations_for_gpt.csv,yes,yes,Human-readable park/open-space/site reference table derived from Parks.geojson.,Parks.geojson uploaded in conversation,When City GIS parks layer changes.
Parks.geojson,optional,yes,Official geometry for park/open-space spatial joins.,Uploaded City of Kyle GIS export,When City GIS parks layer changes.
kyle_trail_corridors_for_gpt.csv,yes,yes,Human-readable trail corridor reference derived from VybeTrails.geojson.,VybeTrails.geojson uploaded in conversation,When Vybe trail GIS layer changes.
VybeTrails.geojson,optional,yes,Trail geometry for future corridor/buffer spatial joins.,Uploaded City of Kyle GIS export,When Vybe trail GIS layer changes.
kyle_location_aliases_for_gpt.csv,yes,yes,Helps GPT recognize park/trail name variations.,Generated from Parks.geojson and VybeTrails.geojson,When site or trail names change.
kyle_management_zones_template.csv,yes,yes,Template for future ESA/restoration/reduced-mowing zone metadata.,Generated template,Replace when official management-zone GIS export exists.
kyle_watchlist_taxa_template.csv,yes,yes,Template for rare/invasive/local-priority taxa flags.,Generated template,As watchlists are reviewed/updated.
Wildflower Center Native Plants Hays County(1).csv,yes,yes,"Plant reference names, traits, wildlife use, habitat, and links.",Uploaded file,When you refresh the Wildflower Center reference export.
Host Calculator(1).xlsx,yes,yes,Plant-host/insect association reference for ecological value lookups.,Uploaded file,When host relationship data changes.
iNaturalist observations,no,yes,Dynamic live/snapshot observation records; use the dashboard pipeline instead of GPT Knowledge.,iNaturalist API/project,Monthly/quarterly/report cycle.
